video,avg_blockiness,max_blockiness,min_blockiness,avg_blur,max_blur,min_blur,avg_color1,max_color1,min_color1,avg_color2,max_color2,min_color2,avg_color3,max_color3,min_color3,avg_color4,max_color4,min_color4,avg_color5,max_color5,min_color5,avg_color6,max_color6,min_color6,avg_color7,max_color7,min_color7,avg_color8,max_color8,min_color8,avg_noise,max_noise,min_noise,avg_brisque,max_brisque,min_brisque,avg_flicker,mos
A001.mp4,0.724166667,0.993333333,0.544444444,0.830242633,0.923403428,0.596311319,85.30594753,93.47037953,67.04964892,44.211906,47.2840326,39.92483561,27.26456319,41.45303358,-14.42854491,59.4032003,64.71338209,52.6446744,145.4884841,150.7261753,135.0325231,54.8664053,62.60477177,47.94019138,-49.34286981,-43.74607488,-55.21524308,71.97828128,78.26867953,64.37640096,0.895711447,1,0.830542995,0.423799554,0.565697163,0.360557646,0.005567697,80.232
A002.mp4,0.790103359,0.998888889,0.388888889,0.312204918,0.448163497,0.182844775,112.4516997,144.6814564,90.84012394,68.17987464,74.4299146,59.31118446,37.40240486,55.54712542,-25.52900916,81.97839353,87.2987113,74.11483785,44.81881602,51.84325714,38.9318099,36.95899621,48.46480552,33.09435688,43.64617761,58.81671662,36.11661127,59.60503976,75.40927962,51.28113517,0.999759267,1,0.97550587,0.561990261,0.683951922,0.407955778,0.021067838,57.3005
A003.mp4,0.807414815,0.998888889,0.442222222,0.644301068,0.802853646,0.539175716,35.27442659,39.59753086,31.52347994,27.68431314,35.33591756,23.05416925,33.58350365,42.63555325,25.32956889,47.14535434,57.71062143,36.70445844,128.4056382,140.2976871,114.2626336,57.04865718,61.61177692,54.65392477,39.98777273,47.33947317,30.66850126,72.42699153,78.10629566,69.73460499,0.985273327,1,0.894153891,0.51198263,0.557225118,0.469536646,0.011761965,78.1558
A004.mp4,0.802883686,0.954444444,0.627777778,0.78800939,1,0.501299349,70.29490062,88.32895496,54.93242429,64.87382173,75.45190059,58.79676519,70.29244147,78.02971418,60.01468936,91.1295,97.1732232,81.9262237,121.3064629,140.9355893,97.34374807,69.37798109,78.03395398,59.59924842,-4.784982672,66.05676903,-51.34395308,81.66603247,90.93382017,71.23935284,0.806017412,0.876453111,0.749157248,0.583218048,0.680044904,0.490191084,0.025655049,59.3179
A005.mp4,0.24601698,0.666666667,0,0.601650914,0.783396538,0.350444662,40.83390272,43.84446566,38.2012635,25.99500922,30.0875193,22.02765985,35.87763517,40.30027819,31.18181734,47.2847978,51.59003574,41.87827293,161.0841378,164.9468567,158.1794247,51.52818064,54.87166681,46.17074931,-43.34900655,-36.88883228,-47.13491374,66.62571131,69.58611506,60.65703072,0.987026641,1,0.858425778,0.602270365,0.655520534,0.493636273,0.044715985,47.1778
A006.mp4,0.010760428,0.135555556,0,0.69120486,0.789819462,0.608071148,45.09684556,47.78417438,42.49507571,35.30323717,37.95506044,32.40268418,40.27515333,44.2393617,35.72208795,54.37182683,59.47439517,48.64705355,106.9556275,110.7510966,100.8207509,57.32792844,58.26643916,56.28953417,54.68718615,56.37099257,52.93748937,76.14759616,77.5489322,75.0339643,0.872709172,0.967886086,0.844983769,0.483554572,0.51070559,0.410027798,0.021162648,84.6517
A007.mp4,0.676914815,0.971111111,0,0.685304623,0.872099906,0.287936757,53.59492535,57.69593316,47.24125386,38.3174564,39.96217054,35.31805537,33.61139855,36.68468579,25.59901909,49.24247509,51.73690279,43.56134289,149.3370093,156.2759954,141.0620351,48.32538864,50.13759462,42.33328738,28.12818341,31.90925634,22.87179921,60.70222827,62.22725897,54.79837323,0.994634122,1,0.880916982,0.542863626,0.722190608,0.337455382,0.001153649,50.8675
A008.mp4,0.621155556,0.997777778,0,0.771605974,1,0.426408761,72.33376599,90.00649836,50.19859279,63.7845116,70.32077173,46.88770588,60.84090902,71.54511386,48.03772434,82.14441391,90.48977514,67.5749863,106.4423508,129.6041821,92.8938233,64.11170923,76.66661071,51.22966043,59.24290707,67.26506883,30.21065617,83.79979694,93.35216217,68.14014972,0.967645888,1,0.767166888,0.512243074,0.854550803,0.114912416,0.01398674,46.8902
A009.mp4,0.824544444,0.896666667,0.536666667,0.75665043,0.948369138,0.13463832,47.38840002,51.49092737,31.04300154,29.01997318,31.25536087,18.67600419,26.7913437,31.25230546,16.43541731,40.25908469,46.22759398,25.97000015,115.8613315,126.7973312,75.43200424,68.86593994,73.86506878,57.74990549,50.63934614,77.65591608,43.44954646,80.56668197,95.38075891,75.93675288,0.690306099,1,0.583151879,0.674785326,0.743618517,0.548621717,0.01154834,80.7925
A010.mp4,0.59066076,0.975555556,0.281111111,0.314742975,0.393429413,0.231496777,67.00395641,70.17617284,63.31868875,32.14472529,34.31113473,28.94194997,-12.77526928,14.31050287,-20.33666343,38.59732173,40.98195443,35.44065408,124.9636788,135.7700313,115.5354273,42.47490198,45.35917464,39.02695723,43.97711204,45.86292063,40.96698623,60.05537667,61.80561155,58.46101883,1,1,1,0.539175784,0.597607742,0.486268399,0.021621812,31.2785
