video,avg_blockiness,max_blockiness,min_blockiness,avg_blur,max_blur,min_blur,avg_contrast1,max_contrast1,min_contrast1,avg_contrast1,max_contrast2,min_contrast2,avg_contrast3,max_contrast3,min_contrast3,avg_contrast4,max_contrast4,min_contrast4,avg_contrast5,max_contrast5,min_contrast5,avg_contrast6,max_contrast6,min_contrast6,avg_contrast7,max_contrast7,min_contrast7,avg_contrast8,max_contrast8,min_contrast8,avg_contrast9,max_contrast9,min_contrast9,avg_color1,max_color1,min_color1,avg_color2,max_color2,min_color2,avg_color3,max_color3,min_color3,avg_color4,max_color4,min_color4,avg_color5,max_color5,min_color5,avg_color6,max_color6,min_color6,avg_color7,max_color7,min_color7,avg_color8,max_color8,min_color8,avg_ltp,max_ltp,min_ltp,avg_noise,max_noise,min_noise,avg_brisque,max_brisque,min_brisque,avg_flicker,mos
A001.mp4,0.808229167,0.9975,0.6475,0.830242633,0.923403428,0.596311319,0.287083788,0.308167706,0.266912964,0.320830836,0.330128977,0.307122935,0.327529307,0.334341153,0.318158189,0.337675639,0.342236528,0.331569644,0.339661445,0.344369568,0.334180572,0.339762816,0.344426129,0.334234576,0.342458992,0.3500796,0.336870778,0.346432222,0.354568941,0.338928081,0.353751245,0.364478428,0.341082532,0.399972885,0.436291218,0.325820167,0.207302445,0.220890679,0.193894884,0.127901753,0.201436317,-0.067124928,0.278564164,0.296880883,0.255668755,0.682445378,0.715947176,0.636070333,0.257225314,0.295977368,0.228977436,-0.231309254,-0.208583116,-0.253940059,0.337482467,0.375871564,0.30921616,0.132887274,0.13409505,0.1311335,0.895711447,1,0.830542995,0.423799554,0.565697163,0.360557646,0.005567697,80.232
A002.mp4,0.808509136,0.9975,0.5425,0.312204918,0.448163497,0.182844775,0.300518138,0.319374291,0.273177621,0.325218796,0.332670931,0.315539051,0.33016451,0.338124666,0.320765557,0.33573398,0.340473334,0.329123616,0.336847587,0.341995528,0.329335843,0.337005248,0.342170573,0.329335843,0.340569463,0.349218395,0.334764109,0.343119482,0.354063744,0.33665374,0.348278422,0.360487734,0.339716681,0.600358099,0.681442276,0.521062308,0.366406731,0.411922453,0.290436575,0.204542329,0.312733623,-0.122803827,0.44039778,0.482016209,0.361878288,0.240831001,0.298792752,0.204884273,0.197786391,0.23894679,0.182413888,0.233155041,0.288576826,0.202165096,0.318823516,0.367787061,0.286758438,0.129911578,0.13225329,0.12733895,0.999759267,1,0.97550587,0.561990261,0.683951922,0.407955778,0.021067838,57.3005
A003.mp4,0.756883333,0.9975,0.56,0.644301068,0.802853646,0.539175716,0.272651257,0.299279175,0.24119679,0.315485391,0.331308424,0.301628288,0.324806573,0.335165113,0.308656377,0.338260182,0.345290911,0.328859777,0.341284674,0.350079018,0.33323361,0.341535222,0.350296993,0.333343238,0.34716443,0.356270696,0.338914446,0.351927718,0.362291476,0.341040039,0.35834923,0.373385974,0.346802195,0.196824364,0.217526815,0.175143403,0.154421618,0.194115881,0.128088196,0.187297776,0.234216021,0.140775815,0.26296379,0.317030062,0.203994789,0.716566084,0.77734356,0.62769537,0.31829858,0.339551263,0.308145702,0.223060217,0.260949995,0.172729092,0.404108591,0.430474651,0.388277562,0.133311715,0.13437397,0.13197197,0.985273327,1,0.894153891,0.51198263,0.557225118,0.469536646,0.011761965,78.1558
A004.mp4,0.833010033,0.99875,0.625,0.78800939,1,0.501299349,0.285835013,0.30836044,0.261348336,0.321445062,0.331304724,0.303317902,0.328362065,0.336300024,0.310932686,0.337993642,0.34603129,0.32925547,0.340066321,0.347146724,0.335164162,0.340226322,0.347235394,0.335164162,0.342960998,0.353182665,0.336516468,0.345748055,0.359733914,0.338598649,0.352380516,0.367239114,0.342486531,0.312325902,0.38618164,0.235199723,0.287690812,0.320878374,0.252507723,0.311281522,0.334735437,0.269179502,0.403806988,0.419455514,0.378561509,0.537414009,0.60397699,0.432219509,0.30743034,0.333041924,0.28178968,-0.018876438,0.295079131,-0.220175773,0.362192778,0.40600374,0.339173271,0.131438982,0.13453331,0.12878152,0.806017412,0.876453111,0.749157248,0.583218048,0.680044904,0.490191084,0.025655049,59.3179
A005.mp4,0.337425249,0.75,0,0.601650914,0.783396538,0.350444662,0.280531574,0.30220176,0.252999113,0.317394704,0.327399262,0.296368393,0.32230183,0.331826114,0.306616799,0.333635305,0.34337045,0.324311698,0.336878314,0.347006357,0.328683301,0.336955419,0.347248673,0.328683301,0.342947677,0.359577962,0.3338633,0.358591195,0.373207213,0.345157918,0.363161443,0.385888344,0.350530266,0.202119671,0.214297578,0.193301757,0.128649283,0.146749926,0.111627255,0.177570565,0.196561996,0.158377957,0.234034155,0.252056958,0.212707143,0.797466981,0.832975388,0.780365595,0.255033807,0.270855694,0.230610805,-0.214528195,-0.186384722,-0.230348058,0.329768612,0.342380828,0.30518783,0.131477794,0.13289885,0.12996882,0.987026641,1,0.858425778,0.602270365,0.655520534,0.493636273,0.044715985,47.1778
A006.mp4,0.030593854,0.215,0,0.69120486,0.789819462,0.608071148,0.284869095,0.306187737,0.261087094,0.320268169,0.329674286,0.309188465,0.327564662,0.33488318,0.319082968,0.337520267,0.346016853,0.331057499,0.340084162,0.346047641,0.334969683,0.340396408,0.346047641,0.334969683,0.343028375,0.349578557,0.337163319,0.346543418,0.35500412,0.340350669,0.354479935,0.367104297,0.344008992,0.254518158,0.268548672,0.242754716,0.199215007,0.211477788,0.184942153,0.227244996,0.247900768,0.203888043,0.306788773,0.334585787,0.277658813,0.603706953,0.626328331,0.573942991,0.32358703,0.331854742,0.316653576,0.308695563,0.321997274,0.293383251,0.429823396,0.44258326,0.416421914,0.132327501,0.13337891,0.13120785,0.872709172,0.967886086,0.844983769,0.483554572,0.51070559,0.410027798,0.021162648,84.6517
A007.mp4,0.758195833,0.99625,0,0.685304623,0.872099906,0.287936757,0.301841021,0.313172622,0.287131126,0.323262929,0.331502282,0.311783766,0.32957846,0.335626635,0.321698474,0.335947942,0.339891608,0.331429275,0.337531138,0.342194089,0.334483512,0.337726054,0.342194089,0.334699517,0.339926446,0.346125895,0.336106889,0.342260478,0.348133272,0.337367984,0.349546149,0.359803449,0.343171032,0.278638483,0.304521225,0.243421445,0.199119443,0.210700927,0.181984417,0.174601205,0.187600888,0.13557866,0.255875814,0.272783315,0.230711516,0.775811813,0.805248071,0.74375093,0.251098624,0.261919278,0.225160877,0.146272036,0.168715951,0.118138762,0.315424515,0.328183253,0.29145976,0.135016852,0.13578399,0.13420676,0.994634122,1,0.880916982,0.542863626,0.722190608,0.337455382,0.001153649,50.8675
A008.mp4,0.65255,0.9875,0,0.771605974,1,0.426408761,0.292844207,0.312756198,0.266770919,0.31950953,0.329736934,0.30142049,0.325195345,0.334656653,0.305945204,0.335456389,0.342055867,0.327854733,0.33892423,0.346328411,0.332839038,0.339167978,0.346328411,0.332839038,0.341748367,0.350559047,0.335445239,0.347166895,0.366242671,0.337688016,0.355593296,0.378356247,0.344094419,0.336834562,0.412174474,0.254764152,0.297125141,0.329583467,0.231455001,0.284141176,0.3266857,0.223672799,0.383329292,0.414106167,0.338435415,0.4975903,0.651248784,0.435734773,0.298812771,0.334107818,0.272243833,0.275649404,0.30682405,0.154205811,0.390732963,0.407932025,0.348427132,0.130295824,0.13352625,0.12550164,0.967645888,1,0.767166888,0.512243074,0.854550803,0.114912416,0.01398674,46.8902
A009.mp4,0.9219875,0.99875,0.62625,0.75665043,0.948369138,0.13463832,0.293202295,0.312063956,0.274500519,0.32040856,0.329509696,0.309425111,0.329199039,0.335586904,0.320540207,0.336191229,0.340886474,0.329704498,0.338126135,0.342889431,0.332600882,0.338365382,0.34414698,0.332600882,0.342202471,0.349127699,0.333868961,0.345360537,0.354742485,0.338131024,0.353100689,0.366632848,0.341650743,0.260733767,0.281754369,0.198524893,0.159790005,0.172332938,0.119435994,0.147631542,0.179313411,0.105107087,0.221797988,0.264616589,0.166082249,0.636835408,0.680102814,0.458581054,0.37940772,0.3998561,0.3685859,0.280371475,0.453044618,0.236367555,0.444632037,0.572877648,0.420830796,0.132587808,0.13449082,0.12702748,0.690306099,1,0.583151879,0.674785326,0.743618517,0.548621717,0.01154834,80.7925
A010.mp4,0.68961794,0.99375,0.37875,0.314742975,0.393429413,0.231496777,0.283919885,0.302949716,0.261557582,0.3191053,0.331388325,0.305144489,0.325902629,0.336124674,0.313181145,0.338753252,0.34554647,0.332474151,0.340089278,0.345848447,0.332496909,0.340456222,0.346367551,0.332496909,0.343627112,0.352709009,0.337367566,0.349248514,0.360740303,0.341252861,0.353314947,0.366226712,0.344294225,0.385774821,0.416251451,0.356188799,0.184988318,0.197122195,0.166882439,-0.073519097,0.081082218,-0.118220989,0.22213998,0.234057516,0.204417153,0.718470753,0.752461804,0.690128,0.244289217,0.253377487,0.230825508,0.253300673,0.26938635,0.225770517,0.345833799,0.363922502,0.322957797,0.128798521,0.13025356,0.12720635,1,1,1,0.539175784,0.597607742,0.486268399,0.021621812,31.2785
